Gender,Age,Alcohol Consumed,Fatigued,Time of day,Raining,Accident
Female,42,Yes,No,Daylight,No,No
Male,24,Yes,No,Daylight,No,No
Female,67,No,Yes,Daylight,Yes,No
Female,27,Yes,No,Daylight,No,No
Female,36,No,Yes,Nighttime,No,No
Male,40,No,No,Daylight,Yes,No
Male,66,Yes,Yes,Daylight,Yes,Yes
Male,30,No,No,Nighttime,Yes,No
Female,60,Yes,Yes,Nighttime,No,Yes
Male,32,Yes,No,Nighttime,No,No
Female,43,Yes,No,Daylight,No,Yes
Male,65,Yes,Yes,Nighttime,Yes,No
Female,45,Yes,Yes,Daylight,Yes,No
Female,56,Yes,Yes,Nighttime,Yes,No
Male,38,No,No,Nighttime,No,No
Male,54,No,Yes,Daylight,No,Yes
Male,41,Yes,No,Nighttime,Yes,No
Male,53,Yes,No,Nighttime,No,No
Female,43,Yes,Yes,Nighttime,No,No
Female,31,Yes,No,Nighttime,Yes,No
Female,39,Yes,Yes,Nighttime,No,No
Male,54,Yes,Yes,Nighttime,No,No
Female,64,No,No,Daylight,No,No
Female,66,Yes,No,Nighttime,Yes,No
Male,33,No,No,Daylight,No,No
Female,27,No,Yes,Nighttime,No,No
Female,38,Yes,Yes,Nighttime,No,No
Male,46,Yes,No,Daylight,No,Yes
Male,25,Yes,Yes,Nighttime,Yes,No
Female,31,Yes,No,Nighttime,No,No
Male,60,No,Yes,Nighttime,No,No
Male,57,No,Yes,Nighttime,Yes,No
Male,30,No,Yes,Nighttime,Yes,Yes
Female,56,Yes,No,Daylight,Yes,No
Female,60,No,Yes,Daylight,No,No
Female,24,Yes,No,Nighttime,Yes,Yes
Female,35,Yes,No,Daylight,No,No
Male,45,No,Yes,Nighttime,Yes,No
Female,33,No,Yes,Nighttime,Yes,Yes
Female,66,Yes,Yes,Daylight,No,No
Male,70,Yes,Yes,Nighttime,No,No
Male,68,No,Yes,Daylight,Yes,No
Female,26,No,Yes,Daylight,No,Yes
Male,56,No,Yes,Nighttime,No,No
Female,52,Yes,Yes,Daylight,Yes,No
Male,57,No,Yes,Nighttime,No,No
Female,68,No,No,Daylight,No,No
Female,55,Yes,Yes,Daylight,No,No
Female,18,No,Yes,Daylight,Yes,Yes
Female,39,Yes,Yes,Nighttime,No,No
Male,54,No,No,Daylight,No,No
Female,41,No,Yes,Daylight,No,Yes
Male,55,No,Yes,Daylight,Yes,Yes
Female,23,Yes,No,Daylight,Yes,No
Female,60,Yes,Yes,Daylight,Yes,No
Male,42,No,Yes,Daylight,Yes,No
Female,69,No,Yes,Nighttime,No,No
Male,54,Yes,No,Nighttime,Yes,No
Female,24,No,Yes,Daylight,No,No
Male,70,No,No,Daylight,Yes,No
Male,65,Yes,Yes,Nighttime,Yes,Yes
Female,34,Yes,No,Nighttime,Yes,No
Female,63,No,Yes,Daylight,Yes,No
Male,48,No,No,Nighttime,No,No
Male,32,Yes,No,Nighttime,No,No
Female,48,No,Yes,Nighttime,No,Yes
Female,20,No,Yes,Nighttime,Yes,Yes
Male,66,No,Yes,Nighttime,No,Yes
Male,66,Yes,Yes,Nighttime,Yes,Yes
Female,68,No,Yes,Nighttime,Yes,No
Male,67,Yes,No,Nighttime,No,No
Female,37,Yes,No,Nighttime,No,No
Female,33,Yes,Yes,Nighttime,Yes,No
Male,55,Yes,No,Daylight,Yes,No
Male,41,Yes,Yes,Daylight,Yes,No
Female,62,Yes,No,Nighttime,Yes,Yes
Female,21,Yes,No,Nighttime,No,No
Male,31,Yes,Yes,Nighttime,No,No
Female,33,Yes,Yes,Daylight,No,Yes
Female,22,Yes,Yes,Daylight,No,No
Female,33,Yes,No,Nighttime,No,Yes
Male,37,No,Yes,Nighttime,Yes,No
Male,62,Yes,No,Nighttime,Yes,No
Female,37,No,No,Daylight,Yes,No
Female,45,Yes,No,Daylight,No,No
Male,29,No,Yes,Nighttime,Yes,No
Male,61,Yes,Yes,Nighttime,No,No
Male,59,No,Yes,Daylight,Yes,No
Male,41,Yes,Yes,Nighttime,No,Yes
Male,30,No,No,Daylight,No,No
Male,18,No,Yes,Nighttime,No,No
Male,30,Yes,No,Nighttime,Yes,No
Female,68,No,Yes,Daylight,Yes,No
Male,18,No,No,Daylight,No,No
Female,41,Yes,Yes,Daylight,Yes,No
Male,56,No,No,Daylight,No,No
Male,41,Yes,Yes,Nighttime,No,No
Female,45,No,No,Daylight,No,No
Female,42,Yes,No,Daylight,No,No
Female,70,Yes,No,Nighttime,No,No
Female,51,Yes,No,Nighttime,No,Yes
Female,56,Yes,No,Nighttime,Yes,No
Male,29,Yes,No,Daylight,Yes,No
Female,39,No,Yes,Nighttime,Yes,No
Male,63,No,No,Nighttime,No,No
Male,60,Yes,Yes,Nighttime,No,No
Male,47,No,Yes,Daylight,Yes,Yes
Male,64,No,Yes,Nighttime,No,No
Female,21,Yes,Yes,Daylight,Yes,No
Male,69,Yes,No,Daylight,Yes,Yes
Female,63,Yes,No,Nighttime,Yes,No
Female,28,Yes,Yes,Daylight,Yes,No
Female,64,No,No,Nighttime,Yes,No
Female,24,Yes,Yes,Daylight,No,No
Male,29,No,No,Daylight,No,Yes
Female,70,Yes,Yes,Nighttime,No,Yes
Female,25,No,Yes,Daylight,Yes,No
Female,55,No,Yes,Daylight,Yes,No
Female,35,No,Yes,Nighttime,No,Yes
Male,53,No,Yes,Daylight,Yes,No
Male,69,No,Yes,Daylight,Yes,No
Female,58,No,No,Nighttime,No,No
Female,36,Yes,No,Nighttime,Yes,Yes
Female,38,No,Yes,Nighttime,No,No
Female,52,No,Yes,Daylight,Yes,No
Male,40,Yes,No,Nighttime,No,No
Male,42,No,No,Daylight,Yes,No
Female,44,Yes,Yes,Nighttime,No,Yes
Male,65,No,No,Daylight,Yes,No
Male,64,Yes,Yes,Daylight,Yes,No
Male,59,No,No,Daylight,No,No
Female,46,No,Yes,Nighttime,Yes,No
Male,53,No,Yes,Nighttime,No,Yes
Male,27,No,No,Nighttime,Yes,No
Male,52,No,Yes,Nighttime,No,Yes
Male,24,No,Yes,Nighttime,No,Yes
Female,41,No,No,Nighttime,Yes,No
Male,39,No,Yes,Nighttime,No,No
Female,46,Yes,No,Nighttime,No,No
Female,61,No,No,Nighttime,No,Yes
Female,67,Yes,Yes,Daylight,No,Yes
Male,44,No,Yes,Daylight,Yes,No
Male,66,Yes,No,Daylight,No,No
Male,33,No,Yes,Daylight,Yes,No
Female,62,Yes,Yes,Nighttime,No,No
Female,65,Yes,No,Daylight,Yes,No
Male,21,No,No,Daylight,No,No
Male,69,Yes,Yes,Nighttime,No,No
Female,26,No,Yes,Nighttime,No,No
Male,50,Yes,No,Daylight,Yes,No
Male,49,Yes,Yes,Nighttime,No,No
Male,52,No,No,Nighttime,Yes,No
Female,24,Yes,Yes,Nighttime,No,Yes
Male,43,No,Yes,Nighttime,Yes,No
Female,43,Yes,Yes,Nighttime,Yes,No
Female,59,Yes,Yes,Daylight,Yes,No
Male,29,No,Yes,Nighttime,No,No
Female,27,No,Yes,Daylight,Yes,Yes
Female,43,Yes,No,Daylight,No,No
Male,50,No,No,Daylight,Yes,No
Male,46,No,No,Daylight,No,No
Male,55,Yes,Yes,Nighttime,No,No
Male,52,Yes,Yes,Nighttime,No,Yes
Female,61,No,No,Daylight,Yes,No
Male,21,Yes,No,Daylight,Yes,No
Female,33,No,Yes,Nighttime,Yes,Yes
Male,51,No,No,Nighttime,No,No
Male,24,Yes,No,Nighttime,No,No
Female,53,Yes,Yes,Nighttime,Yes,No
Female,26,No,Yes,Daylight,Yes,No
Male,62,Yes,Yes,Nighttime,No,No
Female,54,No,No,Daylight,No,No
Male,49,Yes,No,Nighttime,Yes,Yes
Female,19,Yes,No,Daylight,Yes,No
Female,33,No,Yes,Nighttime,No,No
Female,29,No,Yes,Daylight,Yes,Yes
Female,18,Yes,Yes,Daylight,Yes,No
Male,35,No,No,Daylight,Yes,Yes
Male,20,No,Yes,Nighttime,Yes,No
Male,20,Yes,Yes,Daylight,No,Yes
Female,59,No,Yes,Nighttime,No,No
Female,46,No,Yes,Nighttime,No,No
Male,33,No,Yes,Nighttime,Yes,No
Male,61,Yes,No,Nighttime,Yes,No
Female,33,Yes,No,Daylight,Yes,No
Male,26,Yes,Yes,Daylight,No,No
Male,18,No,No,Daylight,No,No
Female,32,Yes,Yes,Nighttime,Yes,No
Female,43,No,No,Nighttime,Yes,No
Male,37,No,No,Nighttime,No,No
Female,34,Yes,Yes,Daylight,No,No
Male,38,Yes,No,Daylight,No,No
Female,51,Yes,Yes,Nighttime,Yes,Yes
Female,37,Yes,Yes,Daylight,No,Yes
Male,47,No,Yes,Nighttime,No,Yes
Male,30,No,Yes,Daylight,Yes,No
Female,41,No,No,Nighttime,Yes,No
Male,24,Yes,Yes,Nighttime,No,No
Female,67,Yes,Yes,Daylight,No,No
Female,20,Yes,No,Daylight,No,No
Male,48,Yes,No,Nighttime,No,No
Male,61,No,No,Daylight,No,No
Female,20,No,Yes,Nighttime,Yes,No
Female,29,Yes,No,Daylight,No,No
Female,41,Yes,Yes,Nighttime,Yes,No
Female,64,No,No,Daylight,Yes,No
Female,70,No,No,Daylight,Yes,No
Female,60,No,Yes,Nighttime,No,No
Male,40,Yes,No,Nighttime,Yes,No
Male,57,No,Yes,Nighttime,Yes,No
Female,61,Yes,Yes,Daylight,Yes,No
Female,54,No,Yes,Nighttime,Yes,No
Male,66,Yes,Yes,Nighttime,No,No
Female,25,No,Yes,Nighttime,No,Yes
Male,60,Yes,Yes,Daylight,No,No
Male,34,No,No,Daylight,No,No
Female,31,Yes,No,Nighttime,No,No
Male,64,No,No,Nighttime,Yes,No
Male,35,No,No,Daylight,No,No
Female,26,No,No,Daylight,No,No
Female,27,No,No,Nighttime,Yes,No
Male,59,Yes,No,Nighttime,No,No
Male,48,Yes,No,Nighttime,No,No
Male,21,No,No,Daylight,No,Yes
Male,53,No,Yes,Nighttime,Yes,No
Female,24,No,Yes,Daylight,No,No
Male,42,No,Yes,Nighttime,No,No
Female,54,No,No,Nighttime,No,No
Male,62,No,Yes,Nighttime,Yes,No
Female,63,Yes,No,Nighttime,No,No
Female,67,No,Yes,Nighttime,Yes,No
Female,48,No,No,Nighttime,No,No
Female,67,No,Yes,Daylight,No,No
Female,18,Yes,Yes,Daylight,Yes,No
Male,56,Yes,Yes,Daylight,Yes,No
Female,59,No,Yes,Nighttime,Yes,No
Male,24,Yes,No,Nighttime,Yes,No
Male,63,Yes,Yes,Daylight,No,No
Female,38,Yes,No,Daylight,No,No
Male,46,No,No,Nighttime,No,No
Female,21,No,Yes,Daylight,No,No
Female,30,No,Yes,Daylight,No,No
Male,19,No,No,Nighttime,Yes,No
Male,44,No,No,Nighttime,Yes,No
Female,38,Yes,Yes,Daylight,No,No
Female,49,No,No,Nighttime,Yes,No
Female,29,Yes,Yes,Daylight,No,No
Female,55,No,Yes,Daylight,Yes,No
Female,44,No,No,Nighttime,No,No
Male,37,Yes,No,Nighttime,No,Yes
Male,44,No,Yes,Daylight,Yes,Yes
Female,34,Yes,Yes,Nighttime,Yes,No
Male,19,No,No,Nighttime,Yes,No
Male,30,No,No,Nighttime,No,No
Female,49,No,Yes,Nighttime,No,Yes
Male,18,No,No,Nighttime,No,Yes
Female,34,No,Yes,Daylight,No,No
Female,52,Yes,No,Nighttime,No,No
Male,68,No,Yes,Nighttime,Yes,No
Female,54,No,No,Nighttime,Yes,No
Male,63,Yes,No,Nighttime,Yes,No
Male,43,Yes,No,Daylight,No,No
Male,29,No,No,Daylight,Yes,No
Female,38,No,Yes,Daylight,Yes,No
Male,68,No,Yes,Daylight,No,No
Male,25,Yes,No,Nighttime,Yes,No
Female,50,Yes,No,Nighttime,No,No
Male,64,No,Yes,Nighttime,Yes,No
Female,46,Yes,Yes,Daylight,Yes,No
Male,59,No,Yes,Nighttime,No,No
Female,44,No,Yes,Daylight,No,No
Female,63,Yes,No,Nighttime,Yes,No
Male,46,Yes,No,Nighttime,No,Yes
Male,22,Yes,No,Daylight,Yes,No
Female,28,Yes,Yes,Nighttime,No,Yes
Male,46,Yes,Yes,Nighttime,Yes,Yes
Male,44,No,No,Nighttime,No,No
Female,61,Yes,Yes,Daylight,No,Yes
Female,41,Yes,Yes,Nighttime,Yes,Yes
Male,46,No,Yes,Nighttime,Yes,No
Male,51,No,Yes,Daylight,Yes,Yes
Female,61,No,Yes,Daylight,No,No
Male,67,No,No,Nighttime,Yes,No
Female,53,Yes,No,Daylight,No,No
Female,50,Yes,Yes,Daylight,Yes,No
Male,66,Yes,No,Nighttime,Yes,No
Female,30,No,No,Nighttime,No,No
Male,70,No,Yes,Nighttime,Yes,No
Male,35,No,No,Nighttime,Yes,No
Male,33,Yes,No,Nighttime,No,No
Male,22,Yes,No,Daylight,No,No
Male,44,Yes,No,Nighttime,No,No
Female,30,No,No,Nighttime,No,No
Male,37,No,No,Nighttime,Yes,No
Male,37,No,No,Nighttime,No,No
Male,35,No,No,Nighttime,Yes,No
Male,48,Yes,Yes,Daylight,Yes,No
Male,34,Yes,Yes,Nighttime,Yes,No
Male,21,Yes,Yes,Daylight,No,No
Female,32,No,Yes,Nighttime,Yes,Yes
Male,32,Yes,Yes,Nighttime,No,No
Male,36,Yes,Yes,Daylight,No,No
Female,42,No,No,Nighttime,No,Yes
Female,19,Yes,Yes,Daylight,Yes,Yes
Male,58,Yes,Yes,Daylight,No,No
Female,48,No,Yes,Daylight,Yes,No
Female,30,Yes,No,Daylight,Yes,No
Male,38,No,No,Nighttime,No,No
Female,40,No,Yes,Nighttime,Yes,No
Female,19,Yes,Yes,Daylight,No,No
Male,46,Yes,No,Daylight,No,No
Female,42,Yes,No,Daylight,Yes,No
Male,47,No,Yes,Daylight,Yes,No
Male,66,No,Yes,Nighttime,No,No
Female,60,Yes,No,Nighttime,No,No
Female,65,No,Yes,Nighttime,Yes,No
Female,46,Yes,No,Daylight,Yes,No
Female,28,No,Yes,Nighttime,Yes,No
Female,56,Yes,Yes,Daylight,No,No
Female,25,Yes,Yes,Nighttime,Yes,No
Female,40,Yes,Yes,Nighttime,No,Yes
Male,33,Yes,No,Daylight,No,No
Male,69,Yes,No,Nighttime,No,No
Female,34,Yes,Yes,Nighttime,No,No
Female,37,No,Yes,Nighttime,No,Yes
Female,21,No,Yes,Nighttime,No,No
Male,30,Yes,Yes,Nighttime,Yes,No
Female,18,Yes,Yes,Nighttime,No,No
Female,55,No,No,Daylight,No,No
Male,43,Yes,Yes,Nighttime,Yes,No
Female,61,Yes,No,Nighttime,Yes,No
Female,62,No,No,Daylight,No,No
Male,64,Yes,Yes,Nighttime,No,No
Male,28,No,Yes,Daylight,No,No
Female,50,Yes,Yes,Nighttime,No,No
Male,47,No,Yes,Daylight,Yes,No
Male,20,No,No,Daylight,Yes,No
Male,45,No,No,Daylight,Yes,No
Male,59,No,Yes,Nighttime,No,No
Female,27,Yes,No,Nighttime,No,No
Male,47,No,Yes,Daylight,No,No
Male,26,No,Yes,Daylight,Yes,No
Male,50,Yes,No,Daylight,Yes,Yes
Female,63,Yes,Yes,Daylight,No,No
Male,61,No,No,Nighttime,No,No
Female,54,No,Yes,Daylight,No,No
Female,49,No,No,Nighttime,No,No
Female,24,No,No,Nighttime,Yes,Yes
Male,57,Yes,No,Daylight,No,No
Female,40,Yes,No,Daylight,Yes,No
Male,57,No,Yes,Daylight,No,No
Female,26,No,No,Nighttime,No,No
Female,65,Yes,Yes,Daylight,No,No
Female,23,No,Yes,Nighttime,No,No
Male,65,No,Yes,Nighttime,No,No
Male,40,Yes,Yes,Nighttime,No,Yes
Male,64,Yes,Yes,Daylight,No,No
Female,60,No,Yes,Daylight,Yes,No
Male,51,No,Yes,Nighttime,No,No
Female,55,Yes,No,Nighttime,Yes,No
Female,47,Yes,Yes,Daylight,Yes,No
Female,27,Yes,No,Nighttime,No,No
Male,69,No,Yes,Nighttime,No,No
Female,34,Yes,Yes,Nighttime,Yes,Yes
Male,46,Yes,No,Daylight,No,No
Male,30,Yes,No,Nighttime,Yes,No
